month,flights,delay_rate,month_name
1,1556096,0.21168102739162623,Jan
2,1481162,0.17413557733725277,Feb
3,1711656,0.21334368588080782,Mar
4,1669281,0.2065547981436319,Apr
5,1740610,0.2123387777847996,May
6,1721829,0.24612839021761163,Jun
7,1781545,0.2659494988900084,Jul
8,1770064,0.21842091585389004,Aug
9,1686877,0.16297690940121895,Sep
10,1771009,0.1426215225332,Oct
11,1673545,0.15052478421554247,Nov
12,1676988,0.20472597299444004,Dec
