band,flights,delay_rate
0-250,2385369,0.1804760605172617
250-500,4666660,0.1848268354669078
500-750,4047997,0.19731783398060818
750-1k,3313524,0.2142465242442789
1k-1.5k,3253277,0.22449271918745314
1.5k-2k,1322672,0.21566042072410999
2k-3k,1208093,0.20544362064841035
3k+,43070,0.19452054794520549
