day_of_week,flights,delay_rate,dow_name
0,3023614,0.19945105426817047,Mon
1,2815092,0.1705098803165225,Tue
2,2831836,0.18067818899117039,Wed
3,2982041,0.21062990079613259,Thu
4,3006991,0.22635119293672645,Fri
5,2618318,0.19902777279154021,Sat
6,2962770,0.21913985898331628,Sun
