ym,flights,delay_rate
2022-01,503529,0.18667842368562684
2022-02,473146,0.18896915539812237
2022-03,554710,0.2087234771321952
2022-04,542117,0.2156711558574994
2022-05,565955,0.20375471548091278
2022-06,557753,0.2338472406244341
2022-07,582549,0.22989654089183914
2022-08,573619,0.21726267784016917
2022-09,547728,0.15989505740075366
2022-10,566492,0.1526376365420871
2022-11,539199,0.1821498185271115
2022-12,525215,0.26296088268613804
2023-01,527197,0.21413247799209784
2023-02,492747,0.18208938867207716
2023-03,571533,0.2297190188493053
2023-04,550249,0.22125256020456194
2023-05,575429,0.17455845986212026
2023-06,562804,0.2627468887925459
2023-07,585058,0.27797585880374254
2023-08,592142,0.20985000219541936
2023-09,560887,0.18035896713598282
2023-10,596003,0.14954790496020992
2023-11,562413,0.1298049653902026
2023-12,566941,0.15083932896015634
2024-01,525370,0.23318423206502084
2024-02,515269,0.1529084808129346
2024-03,585413,0.20173450196698742
2024-04,576915,0.1839699089120581
2024-05,599226,0.2567261767680308
2024-06,601272,0.241965366755811
2024-07,613938,0.2886985330766299
2024-08,604303,0.22791877584589187
2024-09,578262,0.1490362500043233
2024-10,608514,0.1265131122702189
2024-11,571933,0.1410847074744769
2024-12,584832,0.20466561337272926
